baseline,model,temperature_index,temperature,n_seeds,ess_contacts_min,ess_contacts_median,ess_contacts_total,tau_contacts_max,ess_rg_min,ess_rg_median,tau_rg_max,drift_contacts_max,seed_mean_contacts_std,seed_mean_rg_std,rhat_contacts,rhat_rg
final_joint_baseline_44mer,hs,43,332.394,10,1279.0446492739782,1463.1412802392836,14377.724137934929,1.172750303010487,1284.6624885640151,1460.1187834465627,1.167621856598839,0.09085865233184001,0.1975187079747132,0.00710246562918564,1.000463853842892,0.9999704079809189
final_joint_baseline_44mer,hs,44,333.723,10,1021.4609564207501,1438.535469444054,13459.106161276368,1.4684849093557863,1169.2711868575818,1369.267363360445,1.2828503916454594,0.13749239374301175,0.1446956038647262,0.00943756212641059,1.0001131325905837,1.0002510706148795
final_joint_baseline_44mer,hs,45,335.057,10,957.6492852534402,1417.0757700377733,13704.36760211538,1.5663354247719483,1082.9248321177408,1455.0270931340638,1.38513768962767,0.09871044574672803,0.18160792934230582,0.008752399192887107,1.0003157231893822,1.0003570457623656
final_joint_baseline_44mer,hs,46,336.396,10,1226.3131937192286,1482.1352703254206,14342.89743290071,1.2231785547790768,1173.072486180697,1489.606703301506,1.278693360956506,0.07592143120171328,0.08494141772094732,0.008734418175641277,0.9996578648062245,1.000066643481284
final_joint_baseline_44mer,hs,47,337.741,10,1232.4855716812947,1489.8401416866107,14365.764942551546,1.2170527870389392,887.3658074100009,1472.4923067121636,1.6903964379449388,0.051803961704328313,0.11425009603691554,0.0044153881325490205,0.9996450193511351,0.999637564288729
final_joint_baseline_44mer,hs,48,339.091,10,1129.1593793251304,1485.6343912614143,14472.208203800541,1.3284218574144169,1432.8113282351103,1491.3646242876484,1.0468928954153722,0.0857276659215407,0.1351960551692736,0.010147187406021068,0.9998085194118174,1.0002536609654187
final_joint_baseline_44mer,hs,49,340.446,10,1307.4880714469095,1453.5872127726943,14474.201238049593,1.147237999915403,1262.4920668662405,1400.690593057799,1.1881262776749972,0.08645302073032558,0.14022745015786964,0.007075859183309947,0.9999670353336333,1.0000177809861155
final_joint_baseline_44mer,hs,50,341.807,10,1128.5462371409183,1474.8052481820118,14202.850511431394,1.3291435925568544,1248.8733799596257,1449.6697467281856,1.201082530919582,0.06156382616820912,0.15326108442784803,0.007503212341419518,0.9998753311481254,0.9999331815476878
final_joint_baseline_44mer,hs,51,343.173,10,1253.966734268244,1450.2788335662872,14290.712660786172,1.196203981340326,850.7879949002627,1468.949687250318,1.7630714220125356,0.09185460612238584,0.12497786470678199,0.006886641943268024,0.999902363599919,1.000003266427982
final_joint_baseline_44mer,hs,52,344.545,10,1373.2289501266396,1496.682973882604,14665.567076371655,1.0923160335803215,906.1406973870684,1429.6735052881409,1.6553720678536723,0.06039991918171883,0.12637904186304888,0.00780824556312417,0.9997093281872854,0.9997502078282668
final_joint_baseline_44mer,hs,53,345.922,10,1189.1753291171046,1475.181617409775,14162.411790708413,1.261378337804624,1200.6941306455155,1377.5034517394374,1.2492773652466944,0.0992384692877662,0.11986095648245496,0.004663740701141717,0.9998740677236851,0.9998506225805449
final_joint_baseline_44mer,hs,54,347.305,10,1163.8123900822857,1429.6027292889935,14019.688619434677,1.2888675294941176,1012.4106543691502,1418.9163406019109,1.4816122227937978,0.07860915010802112,0.1081045789964517,0.007230545809597605,0.9997863232841843,0.9997843522310681
final_joint_baseline_44mer,hs,55,348.693,10,1140.0812930224713,1397.3422202375132,14023.66961991905,1.3156956518629892,930.7461175192161,1334.7853476277555,1.6116102681127016,0.09954808201189255,0.14055692401617514,0.007767893513879679,0.9998834498813961,0.9999971489898022
final_joint_baseline_44mer,hs,56,350.086,10,1151.2283848070217,1447.6105636316922,13919.729400133248,1.3029560596279444,1184.5568076579498,1485.1187917936131,1.26629638215978,0.07032009105730365,0.12786668404588014,0.006208791957794245,0.9997742568578432,0.9997880734113048
final_joint_baseline_44mer,hs,57,351.486,10,1254.5335547585005,1453.9357037133022,14344.243262374981,1.1956635151849344,1237.2833146747648,1458.997240028229,1.2123334908094945,0.08803138055151134,0.15621820921035068,0.005724871489898455,1.0000161151785354,0.999903689519221
final_joint_baseline_44mer,hs,58,352.891,10,1298.7787305438196,1381.2362455548641,14064.563393019285,1.1549311400964548,1295.2752352853527,1460.8375723235768,1.1580550288754234,0.08067678401976024,0.12439558763164489,0.006524882874344441,0.9999495181029148,0.9997131005410195
final_joint_baseline_44mer,hs,59,354.301,10,1148.4510010252095,1497.1895256193616,14433.536520801128,1.3061070943914599,1314.0602919626776,1492.6850896787614,1.1415001344874391,0.10493354260171475,0.12831629324100324,0.008128077352293574,0.9998529275737776,0.9998665112986052
final_joint_baseline_44mer,hs,60,355.717,10,1099.5340704952112,1455.849564585099,14068.089996080522,1.3642142069544292,862.0484892895179,1420.0313859807807,1.7400413301997295,0.10887112317851123,0.13915249828076284,0.006215198264458477,1.0001347706705714,1.0000737001926343
final_joint_baseline_44mer,hs,61,357.139,10,1368.6147631654248,1486.1180323375925,14592.363354829049,1.095998699101198,1114.144042482262,1479.4237718992829,1.3463250197506498,0.07081106677260988,0.13555508925238496,0.007032389956395457,0.9997851541453601,1.0000430773446307
